coef,se,pval,bw,n_left,n_right,cutoff
0.00014680480430574044,0.0026956770352089938,0.9565691988881493,0.005127231105723876,187,171,0.02
-0.0009751956135990308,0.003908582778627307,0.8029732077596793,0.007693078322847708,203,141,0.03
0.004302217068471177,0.004508295463278493,0.33993734096400907,0.011815078792914204,210,112,0.04
-0.00015652328826498002,0.007027936885521186,0.9822313157627872,0.01632536624229094,214,79,0.05
-0.006554978122820819,0.009507270168228268,0.490527508789783,0.015109079371290288,94,46,0.06
-0.00775263095574525,0.012867655917726109,0.5468481758403474,0.021345796905491127,100,48,0.07
