outcome,n_obs,n_left,n_right,bw_mse,coef_conv,se_conv,pval_conv,ci_lower_conv,ci_upper_conv,coef_bc,se_bc,pval_bc,coef_rb,se_rb,pval_rb,ci_lower_rb,ci_upper_rb,panel
Next vote share (conditional),1335,210,112,0.011815078792910334,0.0032815468607920867,0.0038782243837093802,0.3974708975589736,-0.004319633255243345,0.010882726976827519,0.004302217068471899,0.0038782243837093802,0.2672893585988031,0.004302217068471899,0.004508295463279403,0.3399373409640256,-0.00453387967122105,0.013138313808164848,A: Minor excl. indep.
Contests next election,2996,335,173,0.011380735735638213,-0.06296903267358034,0.10006342262734454,0.5291584224802472,-0.25908973719298595,0.13315167184582527,-0.08372177978510953,0.10006342262734454,0.40276844461691974,-0.08372177978510953,0.12082726433561591,0.48836935767797285,-0.32053886623341765,0.1530953066631986,A: Minor excl. indep.
Next vote share (unconditional),2996,402,188,0.012665722580040261,0.0005440792343096232,0.00417745304094173,0.8963750808719978,-0.007643578273043496,0.008731736741662742,0.0005074510848329557,0.00417745304094173,0.9033157675479371,0.0005074510848329557,0.005093018683357792,0.9206328327555807,-0.009474682107137922,0.010489584276803833,A: Minor excl. indep.
Vote share change (conditional),1335,210,112,0.011816942727217521,0.003280780374252842,0.003879017159828278,0.3976776076170023,-0.004321953554423433,0.010883514302929116,0.004301835642549549,0.003879017159828278,0.26742955782754807,0.004301835642549549,0.004509336476033526,0.34009165232486094,-0.004536301444648927,0.013139972729748024,A: Minor excl. indep.
Next vote share (conditional),1763,300,152,0.013556623989548851,0.011011409412360437,0.008886145762669034,0.21528404105048093,-0.006405116243844079,0.028427935068564954,0.013179628945108018,0.008886145762669034,0.13803032173390872,0.013179628945108018,0.009920963245556918,0.18402532044129494,-0.006265101708129144,0.032624359598345185,B: All minor
Contests next election,3689,290,169,0.008517829398914298,-0.12408181582868749,0.10652077374110967,0.2440755632303283,-0.33285869596660234,0.08469506430922738,-0.16816938725480246,0.10652077374110967,0.11439402367496826,-0.16816938725480246,0.12029504745975876,0.1621207786678237,-0.40394334779446617,0.06760457328486122,B: All minor
Next vote share (unconditional),3689,904,289,0.018513890957233995,0.006998349985530759,0.006023447608003998,0.24529590210382735,-0.004807390388921015,0.018804090359982532,0.007524200846237589,0.006023447608003998,0.21160953174895514,0.007524200846237589,0.006922430055778237,0.2770674949135772,-0.006043512748585354,0.02109191444106053,B: All minor
Vote share change (conditional),1763,300,152,0.013556137757632286,0.011011335593273297,0.008885806064646805,0.21526957734115426,-0.006404524267042031,0.028427195453588627,0.013179414951720415,0.008885806064646805,0.138021657955113,0.013179414951720415,0.009920541040793382,0.18401377629132154,-0.006264488195386119,0.032623318098826945,B: All minor
