coef,se,pval,bw,n_left,n_right,donut_size
0.0015307767242330114,0.006656452074204892,0.818115963967777,0.011294977543914949,177,93,0.001
0.00707851652446858,0.009102655263487023,0.4367859576897569,0.009929125845110433,143,73,0.002
0.0007001968637095901,0.011072801504729182,0.9495787805174427,0.01596266427831784,239,73,0.005
