coef,se,pval,ci_lower,ci_upper,bw,n_left,n_right,subgroup
0.003439361455052886,0.0051790690519196644,0.5066335147185967,-0.0067114273601556595,0.013590150270261432,0.011337503087146567,159,94,Established minor
0.01153382051428747,0.00509422683855493,0.023568187947312177,0.001549319381642468,0.021518321646932473,0.011567798616889585,36,14,Other minor
