year,state,division_id,division,candidate_id,surname,given_name,ballot_position,party_ab,party_name,votes,total_formal_votes,vote_share,party_std,is_major,is_independent,division_link,above_threshold,running_var,funding_rate,funding_amount,n_candidates,next_vote_share,next_votes,next_total_formal_votes,contests_next,next_vote_share_uncond,vote_share_change,election_pair,next_year,lagged_vote_share
2004,NSW,107,Blaxland,15551,EVE-MACLEOD,Martine,4,DEM,Australian Democrats,875.0,69005.0,0.012680240562278,DEM,False,False,Blaxland,0,-0.027319759437722,1.94,0.0,8,,,,0,0.0,,2004-2007,2007,
2004,NSW,107,Blaxland,15095,BASSI,Raul,6,SAL,Socialist Alliance,493.0,69005.0,0.0071444098253749,SAL,False,False,Blaxland,0,-0.0328555901746251,1.94,0.0,8,0.0067393100599049,522.0,77456.0,1,0.0067393100599049,-0.00040509976547000066,2004-2007,2007,
2004,NSW,107,Blaxland,14702,BOATH,Terry,7,CEC,Citizens Electoral Council,230.0,69005.0,0.0033330918049416,CEC,False,False,Blaxland,0,-0.0366669081950584,1.94,0.0,8,,,,0,0.0,,2004-2007,2007,
2004,NSW,108,Bradfield,15397,MONTGOMERY,Sarah,2,FFP,Family First,1459.0,80770.0,0.0180636374891667,FFP,False,False,Bradfield,0,-0.0219363625108333,1.94,0.0,5,0.0090002490187475,759.0,84331.0,1,0.0090002490187475,-0.0090633884704192,2004-2007,2007,
2004,NSW,108,Bradfield,15557,TSOULOS,Jeannette,4,DEM,Australian Democrats,1971.0,80770.0,0.0244026247369072,DEM,False,False,Bradfield,0,-0.015597375263092801,1.94,0.0,5,,,,0,0.0,,2004-2007,2007,
2004,NSW,109,Calare,14716,VAN SCHAIK,Heidi,1,CEC,Citizens Electoral Council,648.0,81334.0,0.0079671478102638,CEC,False,False,Calare,0,-0.0320328521897362,1.94,0.0,7,0.0096374428004418,794.0,82387.0,1,0.0096374428004418,0.0016702949901779996,2004-2007,2007,
2004,NSW,109,Calare,6975,ANDREN,Peter,2,IND,Independent,40851.0,81334.0,0.5022622765387169,IND,False,True,Calare,1,0.46226227653871693,1.94,79250.94,7,0.2310437326277204,19035.0,82387.0,1,0.2310437326277204,-0.27121854391099653,2004-2007,2007,
2004,NSW,109,Calare,14316,ADAMS,Robyn,3,CLR,Country Labor,13439.0,81334.0,0.1652322521946541,CLR,False,False,Calare,1,0.1252322521946541,1.94,26071.66,7,0.2459854103195892,20266.0,82387.0,1,0.2459854103195892,0.08075315812493511,2004-2007,2007,
2004,NSW,109,Calare,15419,WOODS,Melanie,6,FFP,Family First,959.0,81334.0,0.0117908869599429,FFP,False,False,Calare,0,-0.0282091130400571,1.94,0.0,7,,,,0,0.0,,2004-2007,2007,
2004,NSW,110,Charlton,15555,ROFFEY,Ben,2,DEM,Australian Democrats,1513.0,77835.0,0.0194385559195734,DEM,False,False,Charlton,0,-0.0205614440804266,1.94,0.0,7,,,,0,0.0,,2004-2007,2007,
2004,NSW,110,Charlton,14704,STOW,David,3,CEC,Citizens Electoral Council,380.0,77835.0,0.0048821224384916,CEC,False,False,Charlton,0,-0.0351178775615084,1.94,0.0,7,0.0035343760143298,294.0,83183.0,1,0.0035343760143298,-0.0013477464241617998,2004-2007,2007,
2004,NSW,110,Charlton,15402,SCARFE,Paul,4,FFP,Family First,3317.0,77835.0,0.0426157898117813,FFP,False,False,Charlton,1,0.002615789811781302,1.94,6434.98,7,,,,0,0.0,,2004-2007,2007,
2004,NSW,110,Charlton,15353,JOHNSON,Bob,6,HAN,Pauline Hanson's One Nation (NSW Division),2416.0,77835.0,0.031040020556305,ON,False,False,Charlton,0,-0.008959979443695,1.94,0.0,7,,,,0,0.0,,2004-2007,2007,
2004,NSW,111,Chifley,15404,HEATHCOTE,Robert,3,FFP,Family First,1211.0,71584.0,0.0169171881984801,FFP,False,False,Chifley,0,-0.0230828118015199,1.94,0.0,8,0.0126449942749041,1016.0,80348.0,1,0.0126449942749041,-0.004272193923576001,2004-2007,2007,
2004,NSW,111,Chifley,13209,HYLAND,Wayne,4,IND,Independent,850.0,71584.0,0.0118741618238712,IND,False,True,Chifley,0,-0.0281258381761288,1.94,0.0,8,0.0060237964852889,484.0,80348.0,1,0.0060237964852889,-0.0058503653385823,2004-2007,2007,
2004,NSW,111,Chifley,15152,VINCENT,Dave,5,CDP,Christian Democratic Party (Fred Nile Group),2653.0,71584.0,0.037061354492624,CDP,False,False,Chifley,0,-0.002938645507375999,1.94,0.0,8,0.0342385622541942,2751.0,80348.0,1,0.0342385622541942,-0.0028227922384298013,2004-2007,2007,
2004,NSW,111,Chifley,15358,COOKSLEY,Terry,7,HAN,Pauline Hanson's One Nation (NSW Division),1579.0,71584.0,0.022058001788109,ON,False,False,Chifley,0,-0.017941998211891002,1.94,0.0,8,0.014723452979539,1183.0,80348.0,1,0.014723452979539,-0.007334548808569999,2004-2007,2007,
2004,NSW,111,Chifley,14743,RAND,Graham,8,,,315.0,71584.0,0.0044004246759052,,False,False,Chifley,0,-0.0355995753240948,1.94,0.0,8,,,,0,0.0,,2004-2007,2007,
2004,NSW,112,Cook,15432,PHILLIPS,Peter,1,NGS,No GST,1035.0,74377.0,0.0139155921857563,NGS,False,False,Cook,0,-0.0260844078142437,1.94,0.0,8,,,,0,0.0,,2004-2007,2007,
2004,NSW,112,Cook,15552,MENDELSSOHN,David,3,DEM,Australian Democrats,661.0,74377.0,0.0088871559756376,DEM,False,False,Cook,0,-0.0311128440243624,1.94,0.0,8,,,,0,0.0,,2004-2007,2007,
2004,NSW,112,Cook,12125,STRANG,Graeme,6,IND,Independent,466.0,74377.0,0.0062653777377415,IND,False,True,Cook,0,-0.0337346222622585,1.94,0.0,8,0.0080481261686041,693.0,86107.0,1,0.0080481261686041,0.0017827484308626006,2004-2007,2007,
2004,NSW,112,Cook,15357,FREW,Andy,7,HAN,Pauline Hanson's One Nation (NSW Division),1582.0,74377.0,0.02127001626847,ON,False,False,Cook,0,-0.018729983731530002,1.94,0.0,8,0.0129606187650249,1116.0,86107.0,1,0.0129606187650249,-0.0083093975034451,2004-2007,2007,
2004,NSW,112,Cook,15162,SMITH,Beth,8,CDP,Christian Democratic Party (Fred Nile Group),1735.0,74377.0,0.0233271038089732,CDP,False,False,Cook,0,-0.0166728961910268,1.94,0.0,8,0.0224023598545995,1929.0,86107.0,1,0.0224023598545995,-0.0009247439543737003,2004-2007,2007,
2004,NSW,113,Cowper,15595,KAPEEN,Trevor,4,DEM,Australian Democrats,1468.0,77683.0,0.018897313440521,DEM,False,False,Cowper,0,-0.021102686559479,1.94,0.0,6,,,,0,0.0,,2004-2007,2007,
2004,NSW,113,Cowper,15408,MANN,Norm,5,LEF,Lower Excise Fuel and Beer Party,2007.0,77683.0,0.0258357684435462,LEF,False,False,Cowper,0,-0.014164231556453803,1.94,0.0,6,,,,0,0.0,,2004-2007,2007,
2004,NSW,113,Cowper,15379,STOKES,Allan,6,HAN,Pauline Hanson's One Nation (NSW Division),3098.0,77683.0,0.0398800252307454,ON,False,False,Cowper,0,-0.00011997476925459938,1.94,0.0,6,,,,0,0.0,,2004-2007,2007,
2004,NSW,114,Cunningham,15324,KEENE,James Stewart,1,PLP,Progressive Labour Party,1774.0,73255.0,0.024216777011808,PLP,False,False,Cunningham,0,-0.015783222988192,1.94,0.0,11,,,,0,0.0,,2004-2007,2007,
2004,NSW,114,Cunningham,15559,EVANS,Tony,2,DEM,Australian Democrats,686.0,73255.0,0.0093645484949832,DEM,False,False,Cunningham,0,-0.0306354515050168,1.94,0.0,11,,,,0,0.0,,2004-2007,2007,
