year,state,division_id,division,candidate_id,surname,given_name,ballot_position,party_ab,party_name,votes,total_formal_votes,vote_share,party_std,is_major,is_independent,division_link,above_threshold,running_var,funding_rate,funding_amount,n_candidates,next_vote_share,next_votes,next_total_formal_votes,contests_next,next_vote_share_uncond,vote_share_change,election_pair,next_year,lagged_vote_share
2004,NSW,105,Bennelong,15436,HANNAH,Gary,1,IND,Independent,854.0,76814.0,0.0111177649907568,IND,False,True,Bennelong,0,-0.028882235009243203,1.94,0.0,7,0.0027491487991165,239.0,86936.0,1,0.0027491487991165,-0.0083686161916403,2004-2007,2007,
2004,NSW,105,Bennelong,15309,ROLLO,Troy,2,IND,Independent,451.0,76814.0,0.0058713255396151,IND,False,True,Bennelong,0,-0.0341286744603849,1.94,0.0,7,0.0027491487991165,239.0,86936.0,1,0.0027491487991165,-0.0031221767404986003,2004-2007,2007,
2004,NSW,105,Bennelong,14198,WILKIE,Andrew,3,GRN,The Greens,12573.0,76814.0,0.1636810997995157,GRN,True,False,Bennelong,1,0.12368109979951569,1.94,24391.62,7,0.0553395601361921,4811.0,86936.0,1,0.0553395601361921,-0.1083415396633236,2004-2007,2007,
2004,NSW,105,Bennelong,15234,LEVICK,Ray,4,CDP,Christian Democratic Party (Fred Nile Group),1824.0,76814.0,0.0237456713619913,CDP,False,False,Bennelong,0,-0.0162543286380087,1.94,0.0,7,0.0128715376828931,1119.0,86936.0,1,0.0128715376828931,-0.0108741336790982,2004-2007,2007,
2004,NSW,105,Bennelong,14355,CAMPBELL,Nicole,5,ALP,Australian Labor Party,21819.0,76814.0,0.284049782591715,ALP,True,False,Bennelong,1,0.24404978259171498,1.94,42328.86,7,0.4532989785589399,39408.0,86936.0,1,0.4532989785589399,0.16924919596722493,2004-2007,2007,
2004,NSW,105,Bennelong,14818,HOWARD,John Winston,6,LP,Liberal,38326.0,76814.0,0.498945504725701,LP,True,False,Bennelong,1,0.458945504725701,1.94,74352.44,7,0.4549438667525536,39551.0,86936.0,1,0.4549438667525536,-0.04400163797314738,2004-2007,2007,
2004,NSW,105,Bennelong,15558,GOLDFINCH,Peter,7,DEM,Australian Democrats,967.0,76814.0,0.0125888509907048,DEM,False,False,Bennelong,0,-0.0274111490092952,1.94,0.0,7,0.0070166559307996,610.0,86936.0,1,0.0070166559307996,-0.0055721950599052,2004-2007,2007,
2004,NSW,106,Berowra,14377,HOWDEN,Erland Merlin,1,GRN,The Greens,7465.0,77795.0,0.0959573237354585,GRN,True,False,Berowra,1,0.055957323735458496,1.94,14482.1,8,0.0918231447597336,7653.0,83345.0,1,0.0918231447597336,-0.004134178975724892,2004-2007,2007,
2004,NSW,106,Berowra,15214,BENSON,Matthew,2,IND,Independent,860.0,77795.0,0.0110546950318143,IND,False,True,Berowra,0,-0.028945304968185703,1.94,0.0,8,0.0174695542624032,1456.0,83345.0,1,0.0174695542624032,0.006414859230588902,2004-2007,2007,
2004,NSW,106,Berowra,14369,COLNAN,Michael,3,ALP,Australian Labor Party,20351.0,77795.0,0.2615977890609936,ALP,True,False,Berowra,1,0.22159778906099362,1.94,39480.94,8,0.3067130601715759,25563.0,83345.0,1,0.3067130601715759,0.04511527111058228,2004-2007,2007,
2004,NSW,106,Berowra,14745,RUDDOCK,Philip,4,LP,Liberal,43674.0,77795.0,0.56139854746449,LP,True,False,Berowra,1,0.52139854746449,1.94,84727.56,8,0.5342252084708141,44525.0,83345.0,1,0.5342252084708141,-0.02717333899367591,2004-2007,2007,
2004,NSW,106,Berowra,15560,VAN DE WEG,Margaret,5,DEM,Australian Democrats,1457.0,77795.0,0.0187287100713413,DEM,False,False,Berowra,0,-0.0212712899286587,1.94,0.0,8,0.0116863639090527,974.0,83345.0,1,0.0116863639090527,-0.007042346162288601,2004-2007,2007,
2004,NSW,106,Berowra,15415,CLARK,Lance,6,FFP,Family First,883.0,77795.0,0.0113503438524326,FFP,False,False,Berowra,0,-0.0286496561475674,1.94,0.0,8,0.0125862379266902,1049.0,83345.0,1,0.0125862379266902,0.0012358940742575996,2004-2007,2007,
2004,NSW,106,Berowra,15533,COLEMAN,Bruce,7,CDP,Christian Democratic Party (Fred Nile Group),2411.0,77795.0,0.0309917089787261,CDP,False,False,Berowra,0,-0.009008291021273901,1.94,0.0,8,0.02549643049973,2125.0,83345.0,1,0.02549643049973,-0.005495278478996099,2004-2007,2007,
2004,NSW,106,Berowra,14656,BLADE,Ross,8,IND,Independent,694.0,77795.0,0.0089208818047432,IND,False,True,Berowra,0,-0.0310791181952568,1.94,0.0,8,0.0174695542624032,1456.0,83345.0,1,0.0174695542624032,0.008548672457660002,2004-2007,2007,
2004,NSW,107,Blaxland,15350,VINNICOMBE,Bob,1,HAN,Pauline Hanson's One Nation (NSW Division),3300.0,69005.0,0.0478226215491631,ON,False,False,Blaxland,1,0.007822621549163099,1.94,6402.0,8,0.0155184879157198,1202.0,77456.0,1,0.0155184879157198,-0.0323041336334433,2004-2007,2007,
2004,NSW,107,Blaxland,15139,SQUIRES,Matthew,2,CDP,Christian Democratic Party (Fred Nile Group),2378.0,69005.0,0.0344612709223969,CDP,False,False,Blaxland,0,-0.005538729077603104,1.94,0.0,8,0.0238845279900846,1850.0,77456.0,1,0.0238845279900846,-0.010576742932312297,2004-2007,2007,
2004,NSW,107,Blaxland,14319,HATTON,Michael John,3,ALP,Australian Labor Party,37117.0,69005.0,0.5378885588000869,ALP,True,False,Blaxland,1,0.4978885588000869,1.94,72006.98,8,0.6131868415616608,47495.0,77456.0,1,0.6131868415616608,0.07529828276157391,2004-2007,2007,
2004,NSW,107,Blaxland,15551,EVE-MACLEOD,Martine,4,DEM,Australian Democrats,875.0,69005.0,0.012680240562278,DEM,False,False,Blaxland,0,-0.027319759437722,1.94,0.0,8,,,,0,0.0,,2004-2007,2007,
