year,state,division_id,division,candidate_id,surname,given_name,ballot_position,party_ab,party_name,votes,total_formal_votes,vote_share,party_std,is_major,is_independent
2004,NSW,151,Warringah,14501,HEHIR,Ian,4,GRN,The Greens,8833.0,74816.0,0.11806298118049616,GRN,True,False
2004,NSW,151,Warringah,15493,PETERSEN,Patricia,5,IND,Independent,1914.0,74816.0,0.025582763045337895,IND,False,True
2004,NSW,151,Warringah,14833,ABBOTT,Tony,6,LP,Liberal,40798.0,74816.0,0.5453111633875107,LP,True,False
2004,NSW,151,Warringah,15536,THYER,Peter,7,IND,Independent,471.0,74816.0,0.0062954448246364415,IND,False,True
2004,NSW,151,Warringah,14451,FRANCEY,Neil,8,IND,Independent,312.0,74816.0,0.004170230966638152,IND,False,True
2004,NSW,151,Warringah,15580,KELLY,Edward,9,FPY,The Fishing Party,618.0,74816.0,0.008260265183917878,FPY,False,False
2004,NSW,151,Warringah,14335,BEATTIE,Linda,10,ALP,Australian Labor Party,19181.0,74816.0,0.2563756415739949,ALP,True,False
2004,NSW,251,Watson,14342,BURKE,Tony,1,ALP,Australian Labor Party,39046.0,68928.0,0.5664751624883937,ALP,True,False
2004,NSW,251,Watson,15470,CANNONE,Cat,2,FFP,Family First,1150.0,68928.0,0.016684076137418756,FFP,False,False
2004,NSW,251,Watson,15375,COLEMAN,John,3,HAN,Pauline Hanson's One Nation (NSW Division),1093.0,68928.0,0.01585712627669452,ON,False,False
2004,NSW,251,Watson,15592,DALRYMPLE,Garry,4,DEM,Australian Democrats,914.0,68928.0,0.01326021355617456,DEM,False,False
2004,NSW,251,Watson,15208,REID,Kali,5,GRN,The Greens,4667.0,68928.0,0.06770833333333333,GRN,True,False
2004,NSW,251,Watson,13321,POULSEN,Ron,6,,,335.0,68928.0,0.00486014391829155,,False,False
2004,NSW,251,Watson,14809,TOPOLSKI,Keith,7,LP,Liberal,21723.0,68928.0,0.3151549442896936,LP,True,False
2004,NSW,152,Wentworth,15589,VOGLER,Robert,1,IND,Independent,339.0,73624.0,0.004604476801043138,IND,False,True
2004,NSW,152,Wentworth,15478,SHEIL,Pat,2,IND,Independent,218.0,73624.0,0.002960990981201782,IND,False,True
2004,NSW,152,Wentworth,15052,COX,Mithra,3,GRN,The Greens,8210.0,73624.0,0.11151255025535152,GRN,True,False
2004,NSW,152,Wentworth,14923,TURNBULL,Malcolm,4,LP,Liberal,30771.0,73624.0,0.41794795175486255,LP,True,False
2004,NSW,152,Wentworth,15600,MORRISON,Lindy,5,DEM,Australian Democrats,683.0,73624.0,0.009276866239269804,DEM,False,False
2004,NSW,152,Wentworth,14306,PATCH,David,6,ALP,Australian Labor Party,19391.0,73624.0,0.26337878952515487,ALP,True,False
2004,NSW,152,Wentworth,15472,SHEN,Victor,7,FPY,The Fishing Party,239.0,73624.0,0.003246224057372596,FPY,False,False
